batch_num,portfolios,results_file
20,"['Grid_058', 'Grid_059', 'Grid_060']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_020_20251213_143656.xlsx
21,"['Grid_061', 'Grid_062', 'Grid_063']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_021_20251213_143718.xlsx
22,"['Grid_064', 'Grid_065', 'Grid_066']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_022_20251213_143740.xlsx
23,"['Grid_067', 'Grid_068', 'Grid_069']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_023_20251213_143802.xlsx
24,"['Grid_070', 'Grid_071', 'Grid_072']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_024_20251213_143826.xlsx
25,"['Grid_073', 'Grid_074', 'Grid_075']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_025_20251213_143849.xlsx
26,"['Grid_076', 'Grid_077', 'Grid_078']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_026_20251213_143913.xlsx
27,"['Grid_079', 'Grid_080', 'Grid_081']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_027_20251213_143938.xlsx
28,"['Grid_082', 'Grid_083', 'Grid_084']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_028_20251213_144002.xlsx
29,"['Grid_085', 'Grid_086', 'Grid_087']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_029_20251213_144026.xlsx
30,"['Grid_088', 'Grid_089', 'Grid_090']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_030_20251213_144050.xlsx
31,"['Grid_091', 'Grid_092', 'Grid_093']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_031_20251213_144114.xlsx
32,"['Grid_094', 'Grid_095', 'Grid_096']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_032_20251213_144138.xlsx
33,"['Grid_097', 'Grid_098', 'Grid_099']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_033_20251213_144202.xlsx
34,"['Grid_100', 'Grid_101', 'Grid_102']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_034_20251213_144226.xlsx
35,"['Grid_103', 'Grid_104', 'Grid_105']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_035_20251213_144250.xlsx
36,"['Grid_106', 'Grid_107', 'Grid_108']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_036_20251213_144314.xlsx
37,"['Grid_109', 'Grid_110', 'Grid_111']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_037_20251213_144338.xlsx
38,"['Grid_112', 'Grid_113', 'Grid_114']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_038_20251213_144402.xlsx
39,"['Grid_115', 'Grid_116', 'Grid_117']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_039_20251213_144425.xlsx
40,"['Grid_118', 'Grid_119', 'Grid_120']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_040_20251213_144448.xlsx
41,"['Grid_121', 'Grid_122', 'Grid_123']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_041_20251213_144512.xlsx
42,"['Grid_124', 'Grid_125', 'Grid_126']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_042_20251213_144535.xlsx
43,"['Grid_127', 'Grid_128', 'Grid_129']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_043_20251213_144558.xlsx
44,"['Grid_130', 'Grid_131', 'Grid_132']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_044_20251213_144622.xlsx
45,"['Grid_133', 'Grid_134', 'Grid_135']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_045_20251213_144645.xlsx
46,"['Grid_136', 'Grid_137', 'Grid_138']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_046_20251213_144708.xlsx
47,"['Grid_139', 'Grid_140', 'Grid_141']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_047_20251213_144732.xlsx
48,"['Grid_142', 'Grid_143', 'Grid_144']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_048_20251213_144755.xlsx
49,"['Grid_145', 'Grid_146', 'Grid_147']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_049_20251213_144818.xlsx
50,"['Grid_148', 'Grid_149', 'Grid_150']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_050_20251213_144841.xlsx
51,"['Grid_151', 'Grid_152', 'Grid_153']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_051_20251213_144905.xlsx
52,"['Grid_154', 'Grid_155', 'Grid_156']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_052_20251213_144928.xlsx
53,"['Grid_157', 'Grid_158', 'Grid_159']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_053_20251213_144953.xlsx
54,"['Grid_160', 'Grid_161', 'Grid_162']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_054_20251213_145016.xlsx
55,"['Grid_163', 'Grid_164', 'Grid_165']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_055_20251213_145039.xlsx
56,"['Grid_166', 'Grid_167', 'Grid_168']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_056_20251213_145103.xlsx
57,"['Grid_169', 'Grid_170', 'Grid_171']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_057_20251213_145128.xlsx
58,"['Grid_172', 'Grid_173', 'Grid_174']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_058_20251213_145152.xlsx
59,"['Grid_175', 'Grid_176', 'Grid_177']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_059_20251213_145215.xlsx
60,"['Grid_178', 'Grid_179', 'Grid_180']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_060_20251213_145239.xlsx
61,"['Grid_181', 'Grid_182', 'Grid_183']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_061_20251213_145303.xlsx
62,"['Grid_184', 'Grid_185', 'Grid_186']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_062_20251213_145327.xlsx
63,"['Grid_187', 'Grid_188', 'Grid_189']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_063_20251213_145351.xlsx
64,"['Grid_190', 'Grid_191', 'Grid_192']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_064_20251213_145414.xlsx
65,"['Grid_193', 'Grid_194', 'Grid_195']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_065_20251213_145438.xlsx
66,"['Grid_196', 'Grid_197', 'Grid_198']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_066_20251213_145502.xlsx
67,"['Grid_199', 'Grid_200', 'Grid_201']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_067_20251213_145525.xlsx
68,"['Grid_202', 'Grid_203', 'Grid_204']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_068_20251213_145549.xlsx
69,"['Grid_205', 'Grid_206', 'Grid_207']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_069_20251213_145613.xlsx
70,"['Grid_208', 'Grid_209', 'Grid_210']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_070_20251213_145639.xlsx
71,"['Grid_211', 'Grid_212', 'Grid_213']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_071_20251213_145704.xlsx
72,"['Grid_214', 'Grid_215', 'Grid_216']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_072_20251213_145729.xlsx
73,"['Grid_217', 'Grid_218', 'Grid_219']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_073_20251213_145753.xlsx
74,"['Grid_220', 'Grid_221', 'Grid_222']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_074_20251213_145816.xlsx
75,"['Grid_223', 'Grid_224', 'Grid_225']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_075_20251213_145839.xlsx
76,"['Grid_226', 'Grid_227', 'Grid_228']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_076_20251213_145904.xlsx
77,"['Grid_229', 'Grid_230', 'Grid_231']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_077_20251213_145928.xlsx
78,"['Grid_232', 'Grid_233', 'Grid_234']",/Users/toohla/Documents/GitHub/am_final_proj_25/data/source_tables/portfolio_backtest_results_batch_078_20251213_145952.xlsx
